Well,PHIE,SWE,Reservoir
Demo_Well_3,0.19503,0.49602,VENUS
Demo_Well_3,0.18018,0.50491,VENUS
Demo_Well_3,0.18008,0.51816,VENUS
Demo_Well_3,0.18239,0.51844,VENUS
Demo_Well_3,0.17872,0.55662,VENUS
Demo_Well_3,0.1705,0.62881,VENUS
Demo_Well_3,0.15183,0.7113,VENUS
Demo_Well_3,0.13393,1.0,VENUS
Demo_Well_3,0.15208,0.75346,VENUS
Demo_Well_3,0.18535,0.61959,VENUS
Demo_Well_3,0.19176,0.57734,VENUS
Demo_Well_3,0.17016,0.60086,VENUS
Demo_Well_3,0.14921,0.59473,VENUS
Demo_Well_3,0.14967,0.52352,VENUS
Demo_Well_3,0.1542,0.43503,VENUS
Demo_Well_3,0.15738,0.40234,VENUS
Demo_Well_3,0.1757,0.41091,VENUS
Demo_Well_3,0.20816,0.38911,VENUS
Demo_Well_3,0.23945,0.36586,VENUS
Demo_Well_3,0.25975,0.35286,VENUS
Demo_Well_3,0.2664,0.35102,VENUS
Demo_Well_3,0.26563,0.35142,VENUS
Demo_Well_3,0.26055,0.35187,VENUS
Demo_Well_3,0.25091,0.3548,VENUS
Demo_Well_3,0.23271,0.35104,VENUS
Demo_Well_3,0.19802,0.3489,VENUS
Demo_Well_3,0.14986,1.0,VENUS
Demo_Well_3,0.14763,0.45704,VENUS
Demo_Well_3,0.19494,0.4055,VENUS
Demo_Well_3,0.23137,0.38383,VENUS
Demo_Well_3,0.25376,0.36998,VENUS
Demo_Well_3,0.25936,0.35902,VENUS
Demo_Well_3,0.25263,0.35644,VENUS
Demo_Well_3,0.23973,0.35308,VENUS
Demo_Well_3,0.2238,0.35297,VENUS
Demo_Well_3,0.20366,0.36547,VENUS
Demo_Well_3,0.18916,0.36643,VENUS
Demo_Well_3,0.19901,0.35474,VENUS
Demo_Well_3,0.23058,0.33366,VENUS
Demo_Well_3,0.25843,0.31364,VENUS
Demo_Well_3,0.2678,0.30859,VENUS
Demo_Well_3,0.25053,0.31144,VENUS
Demo_Well_3,0.21822,0.31556,VENUS
Demo_Well_3,0.20232,0.34902,VENUS
Demo_Well_3,0.22021,0.34648,VENUS
Demo_Well_3,0.25214,0.32739,VENUS
Demo_Well_3,0.28104,0.31789,VENUS
Demo_Well_3,0.29207,0.32004,VENUS
Demo_Well_3,0.27913,0.32675,VENUS
Demo_Well_3,0.24261,0.34328,VENUS
Demo_Well_3,0.19751,0.36228,VENUS
Demo_Well_3,0.16996,0.31775,VENUS
Demo_Well_3,0.17754,0.28609,VENUS
Demo_Well_3,0.20302,0.29306,VENUS
Demo_Well_3,0.23155,0.29446,VENUS
Demo_Well_3,0.25685,0.29393,VENUS
Demo_Well_3,0.27062,0.29402,VENUS
Demo_Well_3,0.26465,0.30962,VENUS
Demo_Well_3,0.22987,0.32788,VENUS
Demo_Well_3,0.17992,0.31453,VENUS
Demo_Well_3,0.16348,0.31666,VENUS
Demo_Well_3,0.19465,0.36284,VENUS
Demo_Well_3,0.23503,0.40229,VENUS
Demo_Well_3,0.24546,0.41825,VENUS
Demo_Well_3,0.24158,0.43204,VENUS
Demo_Well_3,0.23447,0.46831,VENUS
Demo_Well_3,0.21701,0.49737,VENUS
Demo_Well_3,0.18484,0.55458,VENUS
Demo_Well_3,0.14976,0.69599,VENUS
Demo_Well_3,0.1201,0.90793,VENUS
Demo_Well_3,0.10625,1.0,VENUS
Demo_Well_3,0.10458,1.0,VENUS
Demo_Well_4,0.11707,0.81353,VENUS
Demo_Well_4,0.11678,0.87516,VENUS
Demo_Well_4,0.10956,0.95798,VENUS
Demo_Well_4,0.10346,0.99479,VENUS
